u11,u21,u12,u22,theta(2),alpha(2),beta(2)
4,3,0,1.5,"(-3.14159,0)","(1.5708,1.38629)","(-1.10715,1.21018)"
4.5,5.5,3,6,"(-1.96559,0)","(0.982794,1.68794)","(-0.741947,2.09672)"
4,2.5,6,5.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.426627,1.79866)"
3,3.5,0,2.5,"(-3.14159,0)","(1.5708,1.09861)","(-0.950547,1.45889)"
4.5,5.5,5.5,0,"(-1.37146,-1.11022e-16)","(0.68573,1.96099)","(-1.5708,1.70475)"
4,2.5,6,3.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.620249,1.45889)"
6,2.5,4.5,5.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.426627,1.79866)"
4,2.5,6,3,"(-1.17601,0)","(0.588003,1.97562)","(-0.694738,1.36229)"
4,2.5,6,2.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.785398,1.26286)"
5.5,1.5,2,3.5,"(-2.44405,-1.11022e-16)","(1.22203,1.76684)","(-0.404892,1.33707)"
6,5.5,4,2.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.14417,1.79866)"
1,0.5,3,5.5,"(-0.643501,0)","(0.321751,1.15129)","(-0.0906599,1.70886)"
1.5,0.5,2.5,5,"(-1.08084,0)","(0.54042,1.07003)","(-0.0996687,1.61441)"
4,2.5,6,2,"(-1.17601,0)","(0.588003,1.97562)","(-0.896055,1.16364)"
0.5,5,5,3.5,"(-0.199337,-1.11022e-16)","(0.0996687,1.61441)","(-0.96007,1.80883)"
4,2.5,6,1.5,"(-1.17601,0)","(0.588003,1.97562)","(-1.03038,1.07003)"
2,6,3.5,1.5,"(-1.03829,0)","(0.519146,1.39405)","(-1.32582,1.82207)"
4,2.5,6,0,"(-1.17601,0)","(0.588003,1.97562)","(-1.5708,0.916291)"
6,1,0.5,4,"(-2.97531,0)","(1.48766,1.79522)","(-0.244979,1.41661)"
4,2.5,5.5,6,"(-1.25759,0)","(0.628796,1.91703)","(-0.394791,1.8718)"
1,4,1,5,"(-1.5708,0)","(0.785398,0.346574)","(-0.674741,1.85679)"
4,2.5,5.5,5,"(-1.25759,0)","(0.628796,1.91703)","(-0.463648,1.72101)"
4,2.5,5.5,4,"(-1.25759,0)","(0.628796,1.91703)","(-0.558599,1.55117)"
5.5,4,5,2,"(-1.66596,0)","(0.832981,2.00593)","(-1.10715,1.49787)"
4.5,6,5.5,0,"(-1.37146,-1.11022e-16)","(0.68573,1.96099)","(-1.5708,1.79176)"
1,0.5,2.5,0.5,"(-0.761013,0)","(0.380506,0.990501)","(-0.785398,-0.346574)"
4,2.5,5.5,2.5,"(-1.25759,0)","(0.628796,1.91703)","(-0.785398,1.26286)"
5.5,0,5.5,4,"(-1.5708,0)","(0.785398,2.05132)","(0,1.38629)"
0.5,6,6,3.5,"(-0.166282,0)","(0.0831412,1.79522)","(-1.04272,1.9382)"
5.5,0,3,1.5,"(-2.1429,0)","(1.07145,1.83498)","(0,0.405465)"
1,4.5,1.5,4.5,"(-1.17601,0)","(0.588003,0.589327)","(-0.785398,1.85065)"
4,2.5,5.5,0.5,"(-1.25759,0)","(0.628796,1.91703)","(-1.3734,0.935901)"
2,3.5,0.5,0,"(-2.65164,0)","(1.32582,0.723459)","(-1.5708,1.25276)"
4,2.5,5.5,0,"(-1.25759,0)","(0.628796,1.91703)","(-1.5708,0.916291)"
1.5,3.5,1,2,"(-1.96559,0)","(0.982794,0.589327)","(-1.05165,1.39405)"
4.5,4,5.5,2.5,"(-1.37146,-1.11022e-16)","(0.68573,1.96099)","(-1.0122,1.55117)"
4,2.5,5,6,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.394791,1.8718)"
5.5,5,0.5,1.5,"(-2.96027,0)","(1.48014,1.70886)","(-1.27934,1.65253)"
4,2.5,5,4,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.558599,1.55117)"
4,2.5,5,0.5,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-1.3734,0.935901)"
2,2,5.5,1.5,"(-0.697542,-1.11022e-16)","(0.348771,1.76684)","(-0.927295,0.916291)"
4,2.5,5,0,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-1.5708,0.916291)"
0.5,0,3.5,5,"(-0.283794,0)","(0.141897,1.26286)","(0,1.60944)"
4,2.5,4.5,4.5,"(-1.45328,0)","(0.726642,1.79522)","(-0.507099,1.63857)"
4,2.5,4.5,2.5,"(-1.45328,0)","(0.726642,1.79522)","(-0.785398,1.26286)"
0.5,0,2,2,"(-0.489957,0)","(0.244979,0.723459)","(0,0.693147)"
4,2.5,4.5,1,"(-1.45328,0)","(0.726642,1.79522)","(-1.19029,0.990501)"
4,2.5,4.5,0,"(-1.45328,0)","(0.726642,1.79522)","(-1.5708,0.916291)"
4,2.5,4,6,"(-1.5708,0)","(0.785398,1.73287)","(-0.394791,1.8718)"
6,6,3.5,6,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.785398,2.13833)"
1.5,2.5,3,1,"(-0.927295,0)","(0.463648,1.21018)","(-1.19029,0.990501)"
4,2.5,4,5.5,"(-1.5708,0)","(0.785398,1.73287)","(-0.426627,1.79866)"
4,2.5,4,5,"(-1.5708,0)","(0.785398,1.73287)","(-0.463648,1.72101)"
4,2.5,4,4,"(-1.5708,0)","(0.785398,1.73287)","(-0.558599,1.55117)"
4,2.5,4,3.5,"(-1.5708,0)","(0.785398,1.73287)","(-0.620249,1.45889)"
4,2.5,4,2.5,"(-1.5708,0)","(0.785398,1.73287)","(-0.785398,1.26286)"
4,2.5,4,1.5,"(-1.5708,0)","(0.785398,1.73287)","(-1.03038,1.07003)"
4,2.5,4,0.5,"(-1.5708,0)","(0.785398,1.73287)","(-1.3734,0.935901)"
4,2.5,3.5,5.5,"(-1.70393,0)","(0.851966,1.67055)","(-0.426627,1.79866)"
4,2.5,3.5,3,"(-1.70393,0)","(0.851966,1.67055)","(-0.694738,1.36229)"
4,2.5,3.5,1.5,"(-1.70393,0)","(0.851966,1.67055)","(-1.03038,1.07003)"
4,2.5,3,6,"(-1.85459,0)","(0.927295,1.60944)","(-0.394791,1.8718)"
4,2.5,3,5.5,"(-1.85459,0)","(0.927295,1.60944)","(-0.426627,1.79866)"
5,5.5,0.5,5,"(-2.94226,-1.11022e-16)","(1.47113,1.61441)","(-0.832981,2.00593)"
0.5,1.5,0.5,2,"(-1.5708,0)","(0.785398,-0.346574)","(-0.643501,0.916291)"
4,2.5,3,4.5,"(-1.85459,0)","(0.927295,1.60944)","(-0.507099,1.63857)"
2,0,1.5,3.5,"(-1.85459,0)","(0.927295,0.916291)","(0,1.25276)"
2,1.5,5.5,6,"(-0.697542,-1.11022e-16)","(0.348771,1.76684)","(-0.244979,1.82207)"
4,2.5,3,4,"(-1.85459,0)","(0.927295,1.60944)","(-0.558599,1.55117)"
4,2.5,3,1.5,"(-1.85459,0)","(0.927295,1.60944)","(-1.03038,1.07003)"
4,2.5,3,1,"(-1.85459,0)","(0.927295,1.60944)","(-1.19029,0.990501)"
4,2.5,2.5,5,"(-2.02439,0)","(1.0122,1.55117)","(-0.463648,1.72101)"
4,2.5,2.5,4.5,"(-2.02439,0)","(1.0122,1.55117)","(-0.507099,1.63857)"
3,6,4.5,4.5,"(-1.17601,0)","(0.588003,1.68794)","(-0.927295,2.0149)"
2,4,2.5,4.5,"(-1.34948,-1.11022e-16)","(0.674741,1.16364)","(-0.726642,1.79522)"
4,2.5,2.5,3,"(-2.02439,0)","(1.0122,1.55117)","(-0.694738,1.36229)"
4,2.5,2.5,2.5,"(-2.02439,0)","(1.0122,1.55117)","(-0.785398,1.26286)"
4,2.5,2.5,1,"(-2.02439,0)","(1.0122,1.55117)","(-1.19029,0.990501)"
3.5,5,6,5.5,"(-1.05615,-1.11022e-16)","(0.528074,1.9382)","(-0.737815,2.00593)"
1,5.5,0,5,"(-3.14159,0)","(1.5708,0)","(-0.832981,2.00593)"
5,1.5,3,4.5,"(-2.06075,0)","(1.03038,1.76318)","(-0.321751,1.55676)"
4,2.5,2.5,0.5,"(-2.02439,0)","(1.0122,1.55117)","(-1.3734,0.935901)"
4,2.5,2.5,0,"(-2.02439,0)","(1.0122,1.55117)","(-1.5708,0.916291)"
4,2.5,2,5.5,"(-2.2143,0)","(1.10715,1.49787)","(-0.426627,1.79866)"
4,2.5,2,2,"(-2.2143,0)","(1.10715,1.49787)","(-0.896055,1.16364)"
5.5,2.5,2.5,3,"(-2.28834,0)","(1.14417,1.79866)","(-0.694738,1.36229)"
4,2.5,2,1,"(-2.2143,0)","(1.10715,1.49787)","(-1.19029,0.990501)"
4,2.5,1.5,4.5,"(-2.42405,0)","(1.21203,1.45208)","(-0.507099,1.63857)"
3,6,0,1,"(-3.14159,0)","(1.5708,1.09861)","(-1.40565,1.80546)"
4,2.5,1.5,4,"(-2.42405,0)","(1.21203,1.45208)","(-0.558599,1.55117)"
3,5,5,2.5,"(-1.08084,0)","(0.54042,1.76318)","(-1.10715,1.72101)"
4,2.5,1.5,3.5,"(-2.42405,0)","(1.21203,1.45208)","(-0.620249,1.45889)"
4.5,6,4,5,"(-1.68831,0)","(0.844154,1.79522)","(-0.876058,2.05544)"
5,6,4.5,4,"(-1.67596,0)","(0.837981,1.9061)","(-0.982794,1.97562)"
4,2.5,1.5,3,"(-2.42405,0)","(1.21203,1.45208)","(-0.694738,1.36229)"
4,5.5,3,2.5,"(-1.85459,0)","(0.927295,1.60944)","(-1.14417,1.79866)"
5.5,1.5,1.5,4.5,"(-2.60909,0)","(1.30454,1.74062)","(-0.321751,1.55676)"
4,2.5,1.5,1.5,"(-2.42405,0)","(1.21203,1.45208)","(-1.03038,1.07003)"
4,2.5,1.5,0,"(-2.42405,0)","(1.21203,1.45208)","(-1.5708,0.916291)"
5,2,1,3.5,"(-2.7468,0)","(1.3734,1.62905)","(-0.519146,1.39405)"
4,2.5,1,6,"(-2.65164,0)","(1.32582,1.41661)","(-0.394791,1.8718)"
4,2.5,1,5.5,"(-2.65164,0)","(1.32582,1.41661)","(-0.426627,1.79866)"
4.5,0.5,5.5,3.5,"(-1.37146,-1.11022e-16)","(0.68573,1.96099)","(-0.141897,1.26286)"
4.5,0.5,3.5,2,"(-1.81951,0)","(0.909753,1.74062)","(-0.244979,0.723459)"
4,2.5,1,5,"(-2.65164,0)","(1.32582,1.41661)","(-0.463648,1.72101)"
4,2.5,1,3,"(-2.65164,0)","(1.32582,1.41661)","(-0.694738,1.36229)"
5,6,1,6,"(-2.7468,0)","(1.3734,1.62905)","(-0.785398,2.13833)"
3.5,3,4,1,"(-1.43766,0)","(0.71883,1.67055)","(-1.24905,1.15129)"
4,2.5,1,0.5,"(-2.65164,0)","(1.32582,1.41661)","(-1.3734,0.935901)"
4,2.5,0.5,5,"(-2.89288,0)","(1.44644,1.39405)","(-0.463648,1.72101)"
4,2.5,0.5,4.5,"(-2.89288,0)","(1.44644,1.39405)","(-0.507099,1.63857)"
4,2.5,0.5,4,"(-2.89288,0)","(1.44644,1.39405)","(-0.558599,1.55117)"
4,2.5,0.5,3.5,"(-2.89288,0)","(1.44644,1.39405)","(-0.620249,1.45889)"
2,0.5,1.5,0.5,"(-1.85459,0)","(0.927295,0.916291)","(-0.785398,-0.346574)"
4,2.5,0.5,3,"(-2.89288,0)","(1.44644,1.39405)","(-0.694738,1.36229)"
5,4.5,4.5,2,"(-1.67596,0)","(0.837981,1.9061)","(-1.15257,1.59421)"
0.5,2,4,0.5,"(-0.24871,0)","(0.124355,1.39405)","(-1.32582,0.723459)"
4,2.5,0.5,1.5,"(-2.89288,0)","(1.44644,1.39405)","(-1.03038,1.07003)"
4,2.5,0.5,1,"(-2.89288,0)","(1.44644,1.39405)","(-1.19029,0.990501)"
1.5,5.5,3.5,5.5,"(-0.809784,0)","(0.404892,1.33707)","(-0.785398,2.05132)"
5.5,3.5,0.5,5,"(-2.96027,0)","(1.48014,1.70886)","(-0.610726,1.80883)"
4,2.5,0.5,0,"(-2.89288,0)","(1.44644,1.39405)","(-1.5708,0.916291)"
3,5.5,1,2,"(-2.49809,0)","(1.24905,1.15129)","(-1.22203,1.76684)"
4,2.5,0,6,"(-3.14159,0)","(1.5708,1.38629)","(-0.394791,1.8718)"
4,2.5,0,5.5,"(-3.14159,0)","(1.5708,1.38629)","(-0.426627,1.79866)"
0.5,3,0.5,3,"(-1.5708,0)","(0.785398,-0.346574)","(-0.785398,1.44519)"
5,4.5,2,2.5,"(-2.38058,0)","(1.19029,1.68365)","(-1.0637,1.63857)"
1,2.5,4,3.5,"(-0.489957,0)","(0.244979,1.41661)","(-0.620249,1.45889)"
2.5,4.5,3,5,"(-1.38948,0)","(0.694738,1.36229)","(-0.732815,1.9061)"
4,2.5,0,5,"(-3.14159,0)","(1.5708,1.38629)","(-0.463648,1.72101)"
2.5,6,5.5,1.5,"(-0.853255,0)","(0.426627,1.79866)","(-1.32582,1.82207)"
4,2.5,0,4.5,"(-3.14159,0)","(1.5708,1.38629)","(-0.507099,1.63857)"
4,2.5,0,3.5,"(-3.14159,0)","(1.5708,1.38629)","(-0.620249,1.45889)"
4,2.5,6,4.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.507099,1.63857)"
4,0,2,0.5,"(-2.2143,0)","(1.10715,1.49787)","(-0,-0.693147)"
4,2.5,0,2,"(-3.14159,0)","(1.5708,1.38629)","(-0.896055,1.16364)"
2.5,2,3,2,"(-1.38948,0)","(0.694738,1.36229)","(-0.785398,1.03972)"
4,2.5,0,1,"(-3.14159,0)","(1.5708,1.38629)","(-1.19029,0.990501)"
4,2.5,0,0.5,"(-3.14159,0)","(1.5708,1.38629)","(-1.3734,0.935901)"
4,2,6,5,"(-1.17601,0)","(0.588003,1.97562)","(-0.380506,1.68365)"
5.5,1,5.5,0.5,"(-1.5708,0)","(0.785398,2.05132)","(-1.10715,0.111572)"
5,5,5,2.5,"(-1.5708,0)","(0.785398,1.95601)","(-1.10715,1.72101)"
4,2,6,4.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.418224,1.59421)"
6,4,3.5,3,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.927295,1.60944)"
4,2,6,2.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.674741,1.16364)"
3,3,4.5,3,"(-1.17601,0)","(0.588003,1.68794)","(-0.785398,1.44519)"
4,2,6,1.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.927295,0.916291)"
0.5,2,4,1,"(-0.24871,0)","(0.124355,1.39405)","(-1.10715,0.804719)"
5,5,3.5,5.5,"(-1.92014,-1.11022e-16)","(0.96007,1.80883)","(-0.737815,2.00593)"
4,2,6,0.5,"(-1.17601,0)","(0.588003,1.97562)","(-1.32582,0.723459)"
4,2,6,0,"(-1.17601,0)","(0.588003,1.97562)","(-1.5708,0.693147)"
0.5,0.5,0,6,"(-3.14159,0)","(1.5708,-0.693147)","(-0.0831412,1.79522)"
5,1,2,2,"(-2.38058,0)","(1.19029,1.68365)","(-0.463648,0.804719)"
4,2,5.5,5.5,"(-1.25759,0)","(0.628796,1.91703)","(-0.348771,1.76684)"
4,2,5.5,4.5,"(-1.25759,0)","(0.628796,1.91703)","(-0.418224,1.59421)"
4,2,5.5,3.5,"(-1.25759,0)","(0.628796,1.91703)","(-0.519146,1.39405)"
1,2.5,4.5,5,"(-0.437338,0)","(0.218669,1.52818)","(-0.463648,1.72101)"
4,2,5.5,3,"(-1.25759,0)","(0.628796,1.91703)","(-0.588003,1.28247)"
4,2,5.5,2.5,"(-1.25759,0)","(0.628796,1.91703)","(-0.674741,1.16364)"
4,2,5.5,1.5,"(-1.25759,0)","(0.628796,1.91703)","(-0.927295,0.916291)"
5,5,3,1.5,"(-2.06075,0)","(1.03038,1.76318)","(-1.27934,1.65253)"
4,2,5.5,1,"(-1.25759,0)","(0.628796,1.91703)","(-1.10715,0.804719)"
4,2,5.5,0.5,"(-1.25759,0)","(0.628796,1.91703)","(-1.32582,0.723459)"
4,2,5,6,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.321751,1.84444)"
3,0.5,3,3.5,"(-1.5708,0)","(0.785398,1.44519)","(-0.141897,1.26286)"
4,0,0,4.5,"(-3.14159,0)","(1.5708,1.38629)","(0,1.50408)"
4,2,5,5.5,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.348771,1.76684)"
4,2,5,4.5,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.418224,1.59421)"
4,2,5,4,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.463648,1.49787)"
4,2,5,2,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.785398,1.03972)"
4.5,5.5,5,5.5,"(-1.46563,0)","(0.732815,1.9061)","(-0.785398,2.05132)"
0,2,1,3.5,"(0,0)","(0,0)","(-0.519146,1.39405)"
4,2,5,1.5,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-0.927295,0.916291)"
4.5,3,3.5,4,"(-1.81951,0)","(0.909753,1.74062)","(-0.643501,1.60944)"
4,2,5,1,"(-1.34948,-1.11022e-16)","(0.674741,1.85679)","(-1.10715,0.804719)"
5,2,0,1.5,"(-3.14159,0)","(1.5708,1.60944)","(-0.927295,0.916291)"
4,2,4.5,4.5,"(-1.45328,0)","(0.726642,1.79522)","(-0.418224,1.59421)"
4,2,4.5,4,"(-1.45328,0)","(0.726642,1.79522)","(-0.463648,1.49787)"
4,6,4,0.5,"(-1.5708,0)","(0.785398,1.73287)","(-1.48766,1.79522)"
6,0.5,4.5,0.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.785398,-0.346574)"
4,2,4.5,2.5,"(-1.45328,0)","(0.726642,1.79522)","(-0.674741,1.16364)"
4,2,4.5,2,"(-1.45328,0)","(0.726642,1.79522)","(-0.785398,1.03972)"
4.5,2,4,1.5,"(-1.68831,0)","(0.844154,1.79522)","(-0.927295,0.916291)"
3,3,3,0,"(-1.5708,0)","(0.785398,1.44519)","(-1.5708,1.09861)"
4,2,4,5.5,"(-1.5708,0)","(0.785398,1.73287)","(-0.348771,1.76684)"
4,2,4,3.5,"(-1.5708,0)","(0.785398,1.73287)","(-0.519146,1.39405)"
4,4.5,0.5,0,"(-2.89288,0)","(1.44644,1.39405)","(-1.5708,1.50408)"
4,2,4,1,"(-1.5708,0)","(0.785398,1.73287)","(-1.10715,0.804719)"
4,2,4,0.5,"(-1.5708,0)","(0.785398,1.73287)","(-1.32582,0.723459)"
4,2,3.5,6,"(-1.70393,0)","(0.851966,1.67055)","(-0.321751,1.84444)"
4,2,3.5,4.5,"(-1.70393,0)","(0.851966,1.67055)","(-0.418224,1.59421)"
4,2,3.5,1,"(-1.70393,0)","(0.851966,1.67055)","(-1.10715,0.804719)"
4,2,3.5,4,"(-1.70393,0)","(0.851966,1.67055)","(-0.463648,1.49787)"
4,2,3.5,2.5,"(-1.70393,0)","(0.851966,1.67055)","(-0.674741,1.16364)"
5.5,1.5,2,5,"(-2.44405,-1.11022e-16)","(1.22203,1.76684)","(-0.291457,1.65253)"
5,0.5,4,0.5,"(-1.79211,-1.11022e-16)","(0.896055,1.85679)","(-0.785398,-0.346574)"
4,2,3.5,2,"(-1.70393,0)","(0.851966,1.67055)","(-0.785398,1.03972)"
4,2,3.5,0.5,"(-1.70393,0)","(0.851966,1.67055)","(-1.32582,0.723459)"
4,2,3,4,"(-1.85459,0)","(0.927295,1.60944)","(-0.463648,1.49787)"
2.5,0,1.5,3.5,"(-2.06075,0)","(1.03038,1.07003)","(0,1.25276)"
4,2,3,3.5,"(-1.85459,0)","(0.927295,1.60944)","(-0.519146,1.39405)"
4,2,3,2.5,"(-1.85459,0)","(0.927295,1.60944)","(-0.674741,1.16364)"
4,2,3,0,"(-1.85459,0)","(0.927295,1.60944)","(-1.5708,0.693147)"
4,2,2.5,5.5,"(-2.02439,0)","(1.0122,1.55117)","(-0.348771,1.76684)"
4,2,2.5,4.5,"(-2.02439,0)","(1.0122,1.55117)","(-0.418224,1.59421)"
5,3.5,3.5,1,"(-1.92014,-1.11022e-16)","(0.96007,1.80883)","(-1.2925,1.292)"
5.5,5.5,2.5,3.5,"(-2.28834,0)","(1.14417,1.79866)","(-1.00407,1.87475)"
4.5,3,1.5,1,"(-2.49809,0)","(1.24905,1.55676)","(-1.24905,1.15129)"
4,2,2.5,4,"(-2.02439,0)","(1.0122,1.55117)","(-0.463648,1.49787)"
1,4,4.5,4.5,"(-0.437338,0)","(0.218669,1.52818)","(-0.726642,1.79522)"
4,2,2.5,2,"(-2.02439,0)","(1.0122,1.55117)","(-0.785398,1.03972)"
3,6,4.5,3,"(-1.17601,0)","(0.588003,1.68794)","(-1.10715,1.90333)"
4.5,5.5,0,5.5,"(-3.14159,0)","(1.5708,1.50408)","(-0.785398,2.05132)"
4,2,2.5,1.5,"(-2.02439,0)","(1.0122,1.55117)","(-0.927295,0.916291)"
4,2,2.5,1,"(-2.02439,0)","(1.0122,1.55117)","(-1.10715,0.804719)"
4,4,6,2,"(-1.17601,0)","(0.588003,1.97562)","(-1.10715,1.49787)"
6,0.5,2.5,1,"(-2.35201,0)","(1.17601,1.8718)","(-0.463648,0.111572)"
4,2,2,5,"(-2.2143,0)","(1.10715,1.49787)","(-0.380506,1.68365)"
4,2,2,1.5,"(-2.2143,0)","(1.10715,1.49787)","(-0.927295,0.916291)"
4,2,2,1,"(-2.2143,0)","(1.10715,1.49787)","(-1.10715,0.804719)"
4.5,5,2,5.5,"(-2.30514,0)","(1.15257,1.59421)","(-0.737815,2.00593)"
4,2,2,0,"(-2.2143,0)","(1.10715,1.49787)","(-1.5708,0.693147)"
4,2,1.5,6,"(-2.42405,0)","(1.21203,1.45208)","(-0.321751,1.84444)"
4,2,1.5,5,"(-2.42405,0)","(1.21203,1.45208)","(-0.380506,1.68365)"
2.5,0,3,1.5,"(-1.38948,0)","(0.694738,1.36229)","(0,0.405465)"
5.5,0,2.5,3.5,"(-2.28834,0)","(1.14417,1.79866)","(0,1.25276)"
4,3.5,2,5,"(-2.2143,0)","(1.10715,1.49787)","(-0.610726,1.80883)"
5.5,1.5,4.5,5.5,"(-1.77013,-1.11022e-16)","(0.885067,1.96099)","(-0.266252,1.74062)"
4,2,1.5,4.5,"(-2.42405,0)","(1.21203,1.45208)","(-0.418224,1.59421)"
6,2.5,4.5,3,"(-1.85459,0)","(0.927295,2.0149)","(-0.694738,1.36229)"
1,1,4,6,"(-0.489957,0)","(0.244979,1.41661)","(-0.165149,1.80546)"
3,4.5,3,2,"(-1.5708,0)","(0.785398,1.44519)","(-1.15257,1.59421)"
4,2,1.5,3,"(-2.42405,0)","(1.21203,1.45208)","(-0.588003,1.28247)"
4,2,1.5,1.5,"(-2.42405,0)","(1.21203,1.45208)","(-0.927295,0.916291)"
4,2,1.5,1,"(-2.42405,0)","(1.21203,1.45208)","(-1.10715,0.804719)"
1,5,1,5,"(-1.5708,0)","(0.785398,0.346574)","(-0.785398,1.95601)"
4,2,1.5,0.5,"(-2.42405,0)","(1.21203,1.45208)","(-1.32582,0.723459)"
4.5,4.5,3.5,0.5,"(-1.81951,0)","(0.909753,1.74062)","(-1.46014,1.51021)"
4,2,1,5.5,"(-2.65164,0)","(1.32582,1.41661)","(-0.348771,1.76684)"
4,2,1,5,"(-2.65164,0)","(1.32582,1.41661)","(-0.380506,1.68365)"
4,2,1,4.5,"(-2.65164,0)","(1.32582,1.41661)","(-0.418224,1.59421)"
4,2,1,3.5,"(-2.65164,0)","(1.32582,1.41661)","(-0.519146,1.39405)"
4,2,1,2.5,"(-2.65164,0)","(1.32582,1.41661)","(-0.674741,1.16364)"
4,2,1,1,"(-2.65164,0)","(1.32582,1.41661)","(-1.10715,0.804719)"
0,5.5,3.5,3,"(0,0)","(0,1.25276)","(-1.07145,1.83498)"
0,4.5,5.5,2.5,"(0,0)","(0,1.70475)","(-1.0637,1.63857)"
5.5,3,4,3.5,"(-1.884,0)","(0.942,1.91703)","(-0.708626,1.52818)"
5.5,0,6,0,"(-1.48389,0)","(0.741947,2.09672)","(nan,-inf)"
4,2,0.5,5,"(-2.89288,0)","(1.44644,1.39405)","(-0.380506,1.68365)"
5.5,4.5,1,3,"(-2.78189,0)","(1.39094,1.72101)","(-0.982794,1.68794)"
4,2,0.5,4.5,"(-2.89288,0)","(1.44644,1.39405)","(-0.418224,1.59421)"
4,4.5,0,2.5,"(-3.14159,0)","(1.5708,1.38629)","(-1.0637,1.63857)"
0.5,2,6,2,"(-0.166282,0)","(0.0831412,1.79522)","(-0.785398,1.03972)"
3,3.5,2.5,0,"(-1.75212,0)","(0.876058,1.36229)","(-1.5708,1.25276)"
4,2,0.5,4,"(-2.89288,0)","(1.44644,1.39405)","(-0.463648,1.49787)"
4,2,0.5,2.5,"(-2.89288,0)","(1.44644,1.39405)","(-0.674741,1.16364)"
4.5,5,4.5,3,"(-1.5708,0)","(0.785398,1.85065)","(-1.03038,1.76318)"
4,2,0.5,2,"(-2.89288,0)","(1.44644,1.39405)","(-0.785398,1.03972)"
4.5,1.5,1,0,"(-2.70425,0)","(1.35213,1.52818)","(-1.5708,0.405465)"
4,2,0.5,1,"(-2.89288,0)","(1.44644,1.39405)","(-1.10715,0.804719)"
4,2,0,6,"(-3.14159,0)","(1.5708,1.38629)","(-0.321751,1.84444)"
4,2,0,5,"(-3.14159,0)","(1.5708,1.38629)","(-0.380506,1.68365)"
4,2,0,4.5,"(-3.14159,0)","(1.5708,1.38629)","(-0.418224,1.59421)"
0.5,1.5,3.5,3.5,"(-0.283794,0)","(0.141897,1.26286)","(-0.404892,1.33707)"
5,0,3,4,"(-2.06075,0)","(1.03038,1.76318)","(0,1.38629)"
4.5,4,1,1,"(-2.70425,0)","(1.35213,1.52818)","(-1.32582,1.41661)"
4,2,0,4,"(-3.14159,0)","(1.5708,1.38629)","(-0.463648,1.49787)"
3.5,2,2,5.5,"(-2.1033,0)","(1.05165,1.39405)","(-0.348771,1.76684)"
4,2,0,3,"(-3.14159,0)","(1.5708,1.38629)","(-0.588003,1.28247)"
5.5,2,5.5,5,"(-1.5708,0)","(0.785398,2.05132)","(-0.380506,1.68365)"
4,5.5,3,5,"(-1.85459,0)","(0.927295,1.60944)","(-0.832981,2.00593)"
4,2,0,2,"(-3.14159,0)","(1.5708,1.38629)","(-0.785398,1.03972)"
0.5,4,2,4.5,"(-0.489957,0)","(0.244979,0.723459)","(-0.726642,1.79522)"
2.5,3,0.5,0.5,"(-2.7468,0)","(1.3734,0.935901)","(-1.40565,1.11231)"
4,2,0,1.5,"(-3.14159,0)","(1.5708,1.38629)","(-0.927295,0.916291)"
1,3,0.5,5,"(-2.2143,0)","(1.10715,0.111572)","(-0.54042,1.76318)"
4.5,1.5,0,4,"(-3.14159,0)","(1.5708,1.50408)","(-0.358771,1.45208)"
0.5,5.5,0,1,"(-3.14159,0)","(1.5708,-0.693147)","(-1.39094,1.72101)"
4,2,0,1,"(-3.14159,0)","(1.5708,1.38629)","(-1.10715,0.804719)"
4.5,2.5,3,0.5,"(-1.96559,0)","(0.982794,1.68794)","(-1.3734,0.935901)"
4,2,0,0.5,"(-3.14159,0)","(1.5708,1.38629)","(-1.32582,0.723459)"
4,2,0,0,"(-3.14159,0)","(1.5708,1.38629)","(-1.5708,0.693147)"
2.5,4,4,1,"(-1.1172,0)","(0.558599,1.55117)","(-1.32582,1.41661)"
4,1.5,6,5.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.266252,1.74062)"
4.5,0.5,0.5,4.5,"(-2.92028,-1.11022e-16)","(1.46014,1.51021)","(-0.110657,1.51021)"
4,1.5,6,4.5,"(-1.17601,0)","(0.588003,1.97562)","(-0.321751,1.55676)"
