u11,u21,u12,u22,theta(2),alpha(2),beta(2)
6,6,1.5,3.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.04272,1.9382)"
6,6,1.5,3,"(-2.65164,0)","(1.32582,1.82207)","(-1.10715,1.90333)"
6,6,1.5,2.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.17601,1.8718)"
6,6,5,1,"(-1.75212,0)","(0.876058,2.05544)","(-1.40565,1.80546)"
6,6,1.5,1.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.32582,1.82207)"
6,6,1.5,0,"(-2.65164,0)","(1.32582,1.82207)","(-1.5708,1.79176)"
6,6,1,6,"(-2.8113,0)","(1.40565,1.80546)","(-0.785398,2.13833)"
6,6,1,5.5,"(-2.8113,0)","(1.40565,1.80546)","(-0.828849,2.09672)"
6,6,1,5,"(-2.8113,0)","(1.40565,1.80546)","(-0.876058,2.05544)"
6,6,1,4.5,"(-2.8113,0)","(1.40565,1.80546)","(-0.927295,2.0149)"
6,6,1,3.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.04272,1.9382)"
6,6,1,2.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.17601,1.8718)"
6,6,1,2,"(-2.8113,0)","(1.40565,1.80546)","(-1.24905,1.84444)"
6,6,1,1.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.32582,1.82207)"
6,6,1,0.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.48766,1.79522)"
6,6,1,0,"(-2.8113,0)","(1.40565,1.80546)","(-1.5708,1.79176)"
6,6,0.5,5,"(-2.97531,0)","(1.48766,1.79522)","(-0.876058,2.05544)"
6,6,0.5,4.5,"(-2.97531,0)","(1.48766,1.79522)","(-0.927295,2.0149)"
6,6,0.5,2.5,"(-2.97531,0)","(1.48766,1.79522)","(-1.17601,1.8718)"
6,6,0.5,1.5,"(-2.97531,0)","(1.48766,1.79522)","(-1.32582,1.82207)"
6,6,0.5,1,"(-2.97531,0)","(1.48766,1.79522)","(-1.40565,1.80546)"
6,6,0,6,"(-3.14159,0)","(1.5708,1.79176)","(-0.785398,2.13833)"
6,6,0,5,"(-3.14159,0)","(1.5708,1.79176)","(-0.876058,2.05544)"
6,6,0,4.5,"(-3.14159,0)","(1.5708,1.79176)","(-0.927295,2.0149)"
6,6,0,3.5,"(-3.14159,0)","(1.5708,1.79176)","(-1.04272,1.9382)"
6,6,0,3,"(-3.14159,0)","(1.5708,1.79176)","(-1.10715,1.90333)"
6,6,0,2.5,"(-3.14159,0)","(1.5708,1.79176)","(-1.17601,1.8718)"
6,6,0,0.5,"(-3.14159,0)","(1.5708,1.79176)","(-1.48766,1.79522)"
6,5.5,6,6,"(-1.5708,0)","(0.785398,2.13833)","(-0.741947,2.09672)"
6,5.5,6,5,"(-1.5708,0)","(0.785398,2.13833)","(-0.832981,2.00593)"
6,5.5,6,3,"(-1.5708,0)","(0.785398,2.13833)","(-1.07145,1.83498)"
6,5.5,6,2.5,"(-1.5708,0)","(0.785398,2.13833)","(-1.14417,1.79866)"
6,5.5,6,2,"(-1.5708,0)","(0.785398,2.13833)","(-1.22203,1.76684)"
6,5.5,6,0,"(-1.5708,0)","(0.785398,2.13833)","(-1.5708,1.70475)"
6,5.5,5.5,6,"(-1.6577,0)","(0.828849,2.09672)","(-0.741947,2.09672)"
6,5.5,5.5,5.5,"(-1.6577,0)","(0.828849,2.09672)","(-0.785398,2.05132)"
6,5.5,5.5,4.5,"(-1.6577,0)","(0.828849,2.09672)","(-0.885067,1.96099)"
6,5.5,5.5,3,"(-1.6577,0)","(0.828849,2.09672)","(-1.07145,1.83498)"
6,5.5,5.5,2,"(-1.6577,0)","(0.828849,2.09672)","(-1.22203,1.76684)"
6,6,6,4,"(-1.5708,0)","(0.785398,2.13833)","(-0.982794,1.97562)"
6,5.5,5.5,0,"(-1.6577,0)","(0.828849,2.09672)","(-1.5708,1.70475)"
6,5.5,5,6,"(-1.75212,0)","(0.876058,2.05544)","(-0.741947,2.09672)"
6,5.5,5,5.5,"(-1.75212,0)","(0.876058,2.05544)","(-0.785398,2.05132)"
6,5.5,5,5,"(-1.75212,0)","(0.876058,2.05544)","(-0.832981,2.00593)"
6,5.5,5,4.5,"(-1.75212,0)","(0.876058,2.05544)","(-0.885067,1.96099)"
6,5.5,5,3,"(-1.75212,0)","(0.876058,2.05544)","(-1.07145,1.83498)"
6,5.5,5,2.5,"(-1.75212,0)","(0.876058,2.05544)","(-1.14417,1.79866)"
6,5.5,5,2,"(-1.75212,0)","(0.876058,2.05544)","(-1.22203,1.76684)"
6,5.5,5,1,"(-1.75212,0)","(0.876058,2.05544)","(-1.39094,1.72101)"
6,5.5,4.5,6,"(-1.85459,0)","(0.927295,2.0149)","(-0.741947,2.09672)"
6,5.5,4.5,5.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.785398,2.05132)"
6,5.5,4.5,4.5,"(-1.85459,0)","(0.927295,2.0149)","(-0.885067,1.96099)"
6,5.5,4.5,4,"(-1.85459,0)","(0.927295,2.0149)","(-0.942,1.91703)"
6,5.5,4.5,3,"(-1.85459,0)","(0.927295,2.0149)","(-1.07145,1.83498)"
6,5.5,4.5,2.5,"(-1.85459,0)","(0.927295,2.0149)","(-1.14417,1.79866)"
6,5.5,4.5,1,"(-1.85459,0)","(0.927295,2.0149)","(-1.39094,1.72101)"
6,5.5,4.5,0.5,"(-1.85459,0)","(0.927295,2.0149)","(-1.48014,1.70886)"
6,5.5,4.5,0,"(-1.85459,0)","(0.927295,2.0149)","(-1.5708,1.70475)"
